"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
243,"L. philippiana",1,6.6,36.6177789384831,4.92335514457434,3
244,"A. punctatum",1,7.3,52.8019596956418,58.0732512107175,3
245,"A. punctatum",1,50,59.4130149267187,55.1602047865443,1
246,"A. punctatum",1,45.9,20.0916742566978,8.6820799678535,1
247,"A. punctatum",2,8.1,55.3044730708599,53.7304386103961,3
248,"A. punctatum",1,75.1,22.4938347196979,15.6972324731032,1
249,"A. punctatum",1,64.2,52.4570589042331,47.4121973985825,1
250,"A. punctatum",1,20.6,45.7638292811394,48.3512090394244,2
251,"A. punctatum",1,53,49.9197831242135,44.6561722350318,1
252,"A. punctatum",1,19.5,22.0230143338008,5.31023926026697,2
253,"N. obliqua",1,125.95,48.8173205992102,45.345067278535,1
254,"A. punctatum",1,57.8,43.1546930817084,52.8345902958454,1
255,"A. punctatum",1,73.3,41.5235747187005,48.058064112711,1
256,"A. punctatum",1,11,26.3553949471273,2.6209801183842,3
257,"A. punctatum",1,50,46.9208505821358,47.4434720229703,1
258,"A. punctatum",1,18.7,23.8864303819778,6.37493404251736,2
259,"A. punctatum",1,53.8,46.0222413190558,44.8641883413436,1
260,"A. punctatum",1,19.1,37.8289343740847,44.5826648177711,2
261,"A. punctatum",1,38.8,47.4971633375227,43.2734530916486,1
262,"A. punctatum",1,33.8,25.5854159541333,8.12324668412161,2
263,"A. punctatum",1,48.2,44.8933471353018,35.2500194134314,1
264,"A. punctatum",1,16.3,22.9155560307869,11.3174892002876,3
265,"A. punctatum",1,52.4,43.2114010463576,42.7984930985152,1
266,"Other",1,5.4,25.1971007078147,12.9832510919323,3
267,"A. punctatum",1,65.8,41.1060489920383,39.3292420353078,1
268,"A. punctatum",1,60.1,47.206029216513,38.6562570507136,1
269,"A. punctatum",1,54.1,38.4479548250782,40.8568666118252,1
270,"A. punctatum",1,7.7,33.9764789164727,41.3686544026161,3
271,"A. punctatum",1,93.9,27.3010543474197,11.5864171270588,1
272,"A. punctatum",1,16.6,41.6787725441668,33.4567765825174,2
273,"A. punctatum",1,15.9,26.3422766224346,44.8473210578927,3
274,"A. punctatum",1,11.8,30.2429544051831,10.4099686588547,3
275,"A. punctatum",1,13.3,32.5682840500966,7.55296720520893,3
276,"A. punctatum",1,40.2,39.6664819009769,31.7972989206046,1
277,"A. punctatum",1,30.9,27.0978692806743,41.441250040706,2
278,"A. punctatum",1,72.7,34.5968135715159,8.94640272271031,1
279,"A. punctatum",1,46.2,43.0001838860234,31.1110992634165,1
280,"A. punctatum",1,69.4,31.379477385296,15.943506600134,1
281,"A. punctatum",1,22.5,17.4072126960061,30.3895165286756,3
282,"A. punctatum",1,52.2,27.6466346349465,39.7064757766865,1
283,"A. punctatum",2,26.5,27.5122982076176,36.8584638697624,3
284,"P. lingue",1,19.5,35.3102325378981,25.2037854258655,2
285,"A. punctatum",1,42.7,20.5719545871112,38.0654454235826,1
286,"A. punctatum",1,19.3,34.3953366709675,30.6223097188627,3
287,"A. punctatum",2,12,35.2279739769373,34.1568910349678,3
288,"A. punctatum",2,9.8,34.7180932214009,33.3815993284603,3
289,"A. punctatum",1,61.4,35.7134151127015,29.7793095511464,1
290,"A. punctatum",1,108.3,26.3270883789661,38.2144834572527,1
291,"A. punctatum",1,12.6,34.971114572494,26.1360158325718,3
292,"A. punctatum",1,39.9,34.2321664065751,25.3197700568358,1
293,"A. punctatum",1,19.6,37.1436913534826,24.4846409729574,2
294,"A. punctatum",1,42.8,36.1811795064252,26.6052773247152,1
295,"A. punctatum",1,38.2,37.3213897410376,22.7939537508313,1
296,"A. punctatum",1,59.8,28.3796458798602,3.91183959431161,2
297,"A. punctatum",1,35.7,33.9046468432918,13.4824934331563,2
298,"A. punctatum",1,43,40.9873754509511,26.4994842551377,1
299,"N. obliqua",1,94.6,41.9161482627689,13.9362365738451,1
300,"A. punctatum",1,25.8,41.763234218303,27.4630114923585,2
301,"A. punctatum",1,23.7,42.4636688904097,10.4793273817621,2
302,"A. punctatum",1,42.1,43.6419681668561,28.0629409392063,1
303,"A. punctatum",1,58.5,38.6501956875651,1.72876684072514,1
304,"A. punctatum",1,46.9,42.8375596834871,5.94376686832857,1
305,"A. punctatum",1,23.7,44.3123276477744,26.2211434024659,2
